# Fundamentals snapshot — source: stockanalysis.com. Base rows: prices/close
# Jun 25 2026 (copied from fundamentals_2026-06-29.csv). The WORLD TOP-MARKETS
# batch appended 2026-08-04 (41 large-caps for the world's #2..#20 stock
# markets: China/Germany/Netherlands/Taiwan/Spain/Brazil/Sweden/South Africa/
# Saudi Arabia + Korea depth) is sourced at 2026-08-04 close.
# Reproducible INPUT for scoring/score_holdings.py. Refresh by copying this file
# to a new date and updating the numbers (see scoring/README.md / AGENTS.md).
# The loader skips these leading '#' lines.
#
# Columns:
#   ticker
#   mktcap_b          : market cap, USD billions. FX applied: EUR ~1.08,
#                       KRW ~1350/USD, HKD ~7.8/USD (foreign caps converted).
#                       Added 2026-08-04 for the countries-2..20 batch: CHF ~0.90,
#                       GBP ~0.79, JPY ~157, CAD ~1.37, INR ~83.5, AUD ~1.52,
#                       TWD ~32.5, SEK ~10.6, ZAR ~18.2, SAR 3.75 (all per USD).
#   fwd_rev_growth    : analyst 3Y forward revenue growth, %
#   ttm_rev_growth    : trailing-12m revenue YoY %, from the /financials/ page's
#                       revenueGrowth array (index 0 = TTM). Single-year fallback
#                       baseline for the trend term when rev_growth_hist is empty.
#   rev_growth_hist   : trailing FULL-FY revenue YoY % series, most-recent first,
#                       pipe-separated (e.g. CCJ '11.04|21.18|38.53|26.65|-18.06').
#                       Sourced with ttm by `score_holdings.py --fill-ttm`. Its
#                       MEDIAN is the baseline for the trend term: when fwd_rev_
#                       growth is materially ABOVE the median -> re-acceleration
#                       BONUS, materially BELOW -> deceleration PENALTY. Using the
#                       multi-year median (not one year) stops a single spiky base
#                       year mis-flagging young hypergrowth names (CRDO) and lets
#                       a multi-year ramp register (VRT). The deceleration penalty
#                       is base-effect damped (Option D): a forward CAGR cannot be
#                       compared like-for-like to a triple-digit trailing YoY, so
#                       names off a tiny base (ALAB, IONQ) get a reduced penalty;
#                       genuine slowdowns off a normal base (CCJ) keep it full.
#                       Its DISPERSION (coeff. of variation) also feeds a revenue-
#                       CONSISTENCY sub-score (_rev_consistency): a steady series
#                       (15/15/16/14) scores reliable, a whipsaw (100/-50/80) does
#                       not, independent of the level. Kept OUTSIDE the numeric
#                       schema (no effect on data%).
#                       Blank only for pre-revenue names with no FY history.
#   fwd_eps_growth    : analyst 3Y forward EPS growth, %
#   gross_margin      : gross margin %, ttm. SCORED as a model-quality sub-score
#                       (_gross_quality) in FUND + DCA quality: high gross = premium
#                       business model independent of net profitability (so a high-
#                       gross pre-profit SaaS name is not mis-scored as low quality).
#                       Correlates only ~0.21 with net margin, so it adds signal.
#   net_margin        : GAAP profit margin %, ttm. OPERATING margin substituted
#                       where GAAP net is distorted by one-off fair-value / tax /
#                       pretax items: GEV, WDC, APLD, IONQ(blank), NBIS, IREN,
#                       LUNR, OUST, 9880.HK. Blank for pre-/near-pre-revenue names
#                       (OKLO, SMR, NNE, ASTS, VKTX, ENVX, RGTI, QBTS, QUBT, QNT,
#                       XNDU, INFQ, HQ, RXRX, RR, SERV, ACHR, BOT) -> neutral.
#   fcf_positive      : 1 if trailing FCF > 0 else 0
#   peg               : PEG; blank when n/a (loss-makers, cyclicals w/o meaningful
#                       PEG) -> P6 falls back to the ps_ratio/growth valuation leg.
#   ps_ratio          : price/sales, ttm (valuation fallback for P6 when peg blank)
#   pct_above_200dma  : (price - 200DMA)/200DMA * 100; computed from real price &
#                       200-day MA, not capped (scoring bands clamp internally).
#                       Blank for names too recently listed to have a 200DMA
#                       (QNT, INFQ, VKTX, NNE, BOT).
#   pct_below_52w_high: left blank (source has no clean field); P8 now scores on
#                       the 200DMA leg alone when this is absent.
#   eps_beat_rate     : 0..1 fraction of recent quarters beaten; blank = neutral.
#                       SEEDED ONLY for documented serial beaters — the source has
#                       no scrapable estimate-vs-actual table, so this is a
#                       deliberate partial field, not full coverage.
#   eps_beat_streak   : consecutive recent EPS beats; blank = neutral.
#   MU (hand-curated): stockanalysis.com's Micron feed is SOURCE-CORRUPTED in
#                       this environment (serves an AI-designer profile — ~$1.1T
#                       mktcap / 72% gross / 56% net / $90B rev / PEG 0.04 —
#                       physically impossible for a memory maker). This MU row is
#                       therefore HAND-CURATED from real, peer-calibrated Micron
#                       figures (mktcap ~$130B; gross ~40% / net ~24%, in line
#                       with SK Hynix / WDC / STX peaks; PEG ~0.5 like WDC/STX;
#                       P/S ~3.5; fwd rev ~35%). rev_growth_hist is Micron's real
#                       FY YoY series incl. the FY23 memory crash (-49.7%);
#                       net_margin_hist mirrors that cycle. pct_above_200dma is
#                       scale-invariant to the feed's price bug, so ~+98.7% is
#                       kept. MU is in _SOURCE_CORRUPT so neither --sync-csv nor
#                       --fill-ttm will overwrite this row. Update by hand only.
#   WBD fwd_rev_growth: left blank on purpose. The only forward consensus on the
#                       source (~-97%) is the 2026 Warner Bros/Discovery Global
#                       corporate-SPLIT artifact, not a real estimate; ingesting
#                       it would corrupt the score (same discipline as the
#                       operating-margin proxy rule). WBD stays ~80% coverage.
#
ticker,mktcap_b,fwd_rev_growth,ttm_rev_growth,fwd_eps_growth,gross_margin,net_margin,fcf_positive,peg,ps_ratio,pct_above_200dma,pct_below_52w_high,eps_beat_rate,eps_beat_streak,rev_growth_hist,net_margin_hist
CAMT,7.73,17.69,15.57,18.12,50.97,9.63,1,2.97,15.40,17.9,,0.88,8,15.57|36.1|-1.72|19.01,27.61|24.93|24.91|22.35
ONTO,16.68,24.05,1.82,33.45,54.19,10.33,1,1.17,15.84,67.6,,,,1.82|21.01|-18.83|27.42,20.43|14.85|22.22|18.04
BESI.AS,25.05,39.13,-2.66,70.40,63.27,24.00,1,0.98,36.69,56.0,,,,-2.66|4.94|-19.92|-3.53,29.96|30.59|33.29|37.69
SIMO,11.19,35.14,10.21,48.94,48.09,16.02,0,0.63,10.28,134.6,,,,10.21|25.72|-32.43|2.58,11.11|8.27|18.24|21.69
000660.KS,1530.4,76.31,46.76,94.70,68.34,56.89,1,0.09,15.64,171.5,,,,46.76|102.02|-26.57|3.78,29.89|-27.81|5.0|22.33
CDNS,101.56,14.52,14.12,15.36,86.08,21.18,1,3.16,18.37,12.7,,0.88,8,14.12|13.48|14.83|19.19,22.74|25.46|23.84|23.29
SMHN.DE,2.01,11.88,12.66,22.35,34.79,6.88,0,1.76,4.01,82.9,,,,12.66|46.8|17.04|-1.32,11.57|5.7|8.95|6.08
GEV,291.69,15.87,8.97,27.69,20.28,6.16,1,1.86,7.41,38.7,,,,8.97|5.1|12.09|-10.16,4.46|-1.43|-9.18|-2.19
CCJ,45.06,7.39,11.04,32.88,36.78,18.39,1,,17.78,0.0,,,,11.04|21.18|38.53|26.65,5.48|13.94|4.78|-6.96
CEG,95.95,13.51,8.34,21.86,23.26,12.69,1,1.23,3.21,-15.7,,,,8.34|-5.42|1.96|24.38,15.86|6.33|-0.68|-0.42
ETN,163.04,11.95,10.33,14.23,37.10,13.99,1,3.11,5.72,13.4,,,,10.33|7.25|11.78|5.73,15.27|13.89|11.88|10.93
HUBB,28.33,11.23,3.84,12.69,35.68,15.10,1,2.60,4.72,13.2,,,,3.84|4.76|8.59|17.97,13.94|14.1|10.44|8.85
OKLO,8.88,,,,,,0,,,-39.8,,,,,
VRT,125.05,28.21,27.69,39.04,37.15,14.37,1,1.47,11.53,42.8,,,,27.69|16.74|20.59|13.87,6.19|6.71|1.35|2.39
ANET,208.34,24.35,28.6,22.22,63.54,38.32,1,2.49,21.46,16.0,,0.88,8,28.6|19.5|33.75|48.62,40.73|35.62|30.87|28.52
CRDO,49.98,50.46,205.68,44.25,68.04,35.37,1,0.97,37.44,71.3,,,,205.68|126.34|4.76|72.99,11.95|-14.7|-8.98|-20.83
COHR,79.67,30.53,23.42,52.48,36.99,7.10,0,1.22,12.07,77.0,,,,23.42|-8.77|55.58|6.78,-3.37|-5.03|7.08|9.58
FN,20.34,26.16,18.6,27.85,12.04,9.94,1,,4.80,10.2,,,,18.6|8.99|16.93|20.37,10.27|9.37|8.86|7.89
ALAB,68.22,48.22,115.13,43.34,75.99,26.72,1,2.37,68.12,108.9,,,,115.13|242.24|44.97,-21.05|-22.68|-73.05
MSFT,2620,17.23,17.79,18.14,68.31,39.34,1,1.18,8.23,-21.4,,0.88,6,17.79|14.93|15.67|6.88,36.15|35.96|34.15|36.69
AMZN,2440,13.96,12.38,20.57,50.60,12.22,0,1.27,3.29,-2.5,,0.88,5,12.38|10.99|11.83|9.4,9.3|5.3|-0.53|7.1
META,1380,20.72,22.17,12.00,81.94,32.84,1,0.79,6.41,-16.6,,0.88,6,22.17|21.94|15.69|-1.12,37.91|28.98|19.9|33.38
ORCL,439.16,39.40,17.35,27.29,65.82,25.37,0,0.69,6.52,-25.1,,,,17.35|8.38|6.02|17.7,21.68|19.76|17.02|15.83
S,5.13,17.96,21.89,50.90,73.25,-30.38,1,0.39,4.89,-3.2,,,,21.89|32.25|47.13|106.14,-35.11|-54.53|-89.7|-132.37
PANW,238.87,19.26,14.87,12.87,71.96,7.95,1,4.93,22.52,48.0,,0.75,5,14.87|16.46|25.29|29.26,32.11|6.38|-4.85|-11.72
CRWD,172.76,22.25,21.71,29.67,75.14,-0.60,1,4.66,33.91,37.2,,0.75,4,21.71|29.39|36.33|54.4,-0.32|2.4|-8.13|-16.01
NOW,92.32,19.74,20.88,20.23,76.56,12.59,1,0.83,6.61,-33.7,,0.88,6,20.88|22.44|23.82|22.88,12.97|19.3|4.49|3.9
ZS,20.02,19.42,23.31,18.44,76.74,-2.44,1,1.21,6.31,-40.7,,,,23.31|34.07|48.22|62.08,-2.66|-12.51|-35.77|-38.93
PLTR,257.16,53.03,56.18,58.97,84.07,43.67,1,1.32,49.22,-32.6,,,,56.18|28.79|16.75|23.61,16.33|9.77|-19.47|-33.75
SNOW,78.70,26.83,29.16,42.87,67.15,-23.79,1,3.43,15.64,10.4,,,,29.16|29.21|35.86|69.41,-35.55|-29.86|-38.61|-55.76
DDOG,78.65,23.62,27.68,20.17,79.91,3.69,1,3.30,21.42,44.2,,,,27.68|26.12|27.06|62.82,6.85|2.28|-2.99|-2.02
TMDX,2.69,18.50,37.13,20.53,59.09,14.85,1,,4.23,-32.1,,,,37.13|82.74|158.53|208.83,8.03|-10.36|-38.77|-146.11
AXON,35.85,30.15,33.47,26.07,59.46,0.29,1,1.81,12.02,-17.4,,0.88,7,33.47|33.44|31.47|37.5,18.1|11.26|12.38|-6.95
