# Fundamentals snapshot — source: stockanalysis.com, prices/close Jun 25 2026.
# Reproducible INPUT for scoring/score_holdings.py. Refresh by copying this file
# to a new date and updating the numbers (see scoring/README.md / AGENTS.md).
# The loader skips these leading '#' lines.
#
# Columns:
#   ticker
#   mktcap_b          : market cap, USD billions. FX applied: EUR ~1.08,
#                       KRW ~1350/USD, HKD ~7.8/USD (foreign caps converted).
#   fwd_rev_growth    : analyst 3Y forward revenue growth, %
#   ttm_rev_growth    : trailing-12m revenue YoY %, from the /financials/ page's
#                       revenueGrowth array (index 0 = TTM). Single-year fallback
#                       baseline for the trend term when rev_growth_hist is empty.
#   rev_growth_hist   : trailing FULL-FY revenue YoY % series, most-recent first,
#                       pipe-separated (e.g. CCJ '11.04|21.18|38.53|26.65|-18.06').
#                       Sourced with ttm by `score_holdings.py --fill-ttm`. Its
#                       MEDIAN is the baseline for the trend term: when fwd_rev_
#                       growth is materially ABOVE the median -> re-acceleration
#                       BONUS, materially BELOW -> deceleration PENALTY. Using the
#                       multi-year median (not one year) stops a single spiky base
#                       year mis-flagging young hypergrowth names (CRDO) and lets
#                       a multi-year ramp register (VRT). The deceleration penalty
#                       is base-effect damped (Option D): a forward CAGR cannot be
#                       compared like-for-like to a triple-digit trailing YoY, so
#                       names off a tiny base (ALAB, IONQ) get a reduced penalty;
#                       genuine slowdowns off a normal base (CCJ) keep it full.
#                       Kept OUTSIDE the numeric schema (no effect on data%).
#                       Blank only for pre-revenue names with no FY history.
#   fwd_eps_growth    : analyst 3Y forward EPS growth, %
#   gross_margin      : gross margin %, ttm
#   net_margin        : GAAP profit margin %, ttm. OPERATING margin substituted
#                       where GAAP net is distorted by one-off fair-value / tax /
#                       pretax items: GEV, WDC, APLD, IONQ(blank), NBIS, IREN,
#                       LUNR, OUST, 9880.HK. Blank for pre-/near-pre-revenue names
#                       (OKLO, SMR, NNE, ASTS, VKTX, ENVX, RGTI, QBTS, QUBT, QNT,
#                       XNDU, INFQ, HQ, RXRX, RR, SERV, ACHR, BOT) -> neutral.
#   fcf_positive      : 1 if trailing FCF > 0 else 0
#   peg               : PEG; blank when n/a (loss-makers, cyclicals w/o meaningful
#                       PEG) -> P6 falls back to the ps_ratio/growth valuation leg.
#   ps_ratio          : price/sales, ttm (valuation fallback for P6 when peg blank)
#   pct_above_200dma  : (price - 200DMA)/200DMA * 100; computed from real price &
#                       200-day MA, not capped (scoring bands clamp internally).
#                       Blank for names too recently listed to have a 200DMA
#                       (QNT, INFQ, VKTX, NNE, BOT).
#   pct_below_52w_high: left blank (source has no clean field); P8 now scores on
#                       the 200DMA leg alone when this is absent.
#   eps_beat_rate     : 0..1 fraction of recent quarters beaten; blank = neutral.
#                       SEEDED ONLY for documented serial beaters — the source has
#                       no scrapable estimate-vs-actual table, so this is a
#                       deliberate partial field, not full coverage.
#   eps_beat_streak   : consecutive recent EPS beats; blank = neutral.
#   WBD fwd_rev_growth: left blank on purpose. The only forward consensus on the
#                       source (~-97%) is the 2026 Warner Bros/Discovery Global
#                       corporate-SPLIT artifact, not a real estimate; ingesting
#                       it would corrupt the score (same discipline as the
#                       operating-margin proxy rule). WBD stays ~80% coverage.
#
ticker,mktcap_b,fwd_rev_growth,ttm_rev_growth,fwd_eps_growth,gross_margin,net_margin,fcf_positive,peg,ps_ratio,pct_above_200dma,pct_below_52w_high,eps_beat_rate,eps_beat_streak,rev_growth_hist,net_margin_hist
CAMT,7.73,17.69,10.7,18.12,50.97,9.63,1,2.97,15.40,17.9,,0.88,8,15.57|36.1|-1.72|19.0|73.02,10.22|27.61|24.93|24.91|22.35
ONTO,16.68,24.05,0.54,33.45,54.19,10.33,1,1.17,15.84,67.6,,,,1.82|21.02|-18.83|27.42|41.76,13.6|20.43|14.85|22.22|18.04
BESI.AS,25.05,39.13,4.42,70.40,63.27,24.00,1,0.98,36.69,56.0,,,,-2.66|4.94|-19.92|-3.53|72.8,22.26|29.96|30.59|33.29|37.69
SIMO,11.19,35.14,35.93,48.94,48.09,16.02,0,0.63,10.28,134.6,,,,10.21|25.72|-32.43|2.58|70.91,13.85|11.11|8.27|18.24|21.69
000660.KS,1530.4,76.31,84.98,94.70,68.34,56.89,1,0.09,15.64,171.5,,,,46.76|102.02|-26.57|3.78|34.79,44.18|29.89|-27.81|5.0|22.33
CDNS,101.56,14.52,13.42,15.36,86.08,21.18,1,3.16,18.37,12.7,,0.88,8,14.12|13.48|14.83|19.19|11.38,20.94|22.74|25.46|23.84|23.29
SMHN.DE,2.01,11.88,-2.78,22.35,34.79,6.88,0,1.76,4.01,82.9,,,,12.65|46.8|17.04|-1.32|4.49,9.16|24.62|1.54|9.43|6.08
GEV,291.69,15.87,10.27,27.69,20.28,6.16,1,1.86,7.41,38.7,,,,8.97|5.1|12.09|-10.16,12.82|4.46|-1.43|-9.18|-2.19
CCJ,45.06,7.39,7.48,32.88,36.78,18.39,1,,17.78,0.0,,,,11.04|21.18|38.53|26.65|-18.06,16.93|5.48|13.94|4.78|-6.96
CEG,95.95,13.51,23.44,21.86,23.26,12.69,1,1.23,3.21,-15.7,,,,8.34|-5.42|1.96|24.38|11.62,9.1|15.86|6.33|-0.68|-0.42
ETN,163.04,11.95,12.68,14.23,37.10,13.99,1,3.11,5.72,13.4,,,,10.33|7.25|11.78|5.73|9.91,14.9|15.27|13.89|11.88|10.93
HUBB,28.33,11.23,7.18,12.69,35.68,15.10,1,2.60,4.72,13.2,,,,3.84|4.76|8.59|17.97|13.89,15.26|13.94|14.1|10.44|8.85
OKLO,8.88,,,,,,0,,,-39.8,,,,,
VRT,125.05,28.21,28.95,39.04,37.15,14.37,1,1.47,11.53,42.8,,,,27.68|16.74|20.59|13.87|14.36,13.03|6.19|6.71|1.35|2.39
ANET,208.34,24.35,30.57,22.22,63.54,38.32,1,2.49,21.46,16.0,,0.88,8,28.6|19.5|33.76|48.62|27.21,38.99|40.73|35.62|30.87|28.52
CRDO,49.98,50.46,205.68,44.25,68.04,35.37,1,0.97,37.44,71.3,,,,205.68|126.34|4.76|72.99|81.4,35.37|11.95|-14.7|-8.98|-20.83
COHR,79.67,30.53,18.0,52.48,36.99,7.10,0,1.22,12.07,77.0,,,,23.42|-8.77|55.58|6.78|30.5,0.52|-3.37|-5.03|7.08|9.58
FN,20.34,26.16,24.65,27.85,12.04,9.94,1,,4.80,10.2,,,,18.6|8.99|16.93|20.37|14.47,9.72|10.27|9.37|8.86|7.89
ALAB,68.22,48.22,104.18,43.34,75.99,26.72,1,2.37,68.12,108.9,,,,115.13|242.24|44.97,25.7|-21.05|-22.68|-73.05
MSFT,2620,17.23,17.88,18.14,68.31,39.34,1,1.18,8.23,-21.4,,0.88,6,14.93|15.67|6.88|17.96|17.53,36.15|35.96|34.15|36.69|36.45
