# Fundamentals snapshot — source: stockanalysis.com, prices/close Jun 25 2026.
# Reproducible INPUT for scoring/score_holdings.py. Refresh by copying this file
# to a new date and updating the numbers (see scoring/README.md / AGENTS.md).
# The loader skips these leading '#' lines.
#
# Columns:
#   ticker
#   mktcap_b          : market cap, USD billions. FX applied: EUR ~1.08,
#                       KRW ~1350/USD, HKD ~7.8/USD (foreign caps converted).
#   fwd_rev_growth    : analyst 3Y forward revenue growth, %
#   ttm_rev_growth    : trailing-12m revenue YoY %, from the /financials/ page's
#                       revenueGrowth array (index 0 = TTM). Single-year fallback
#                       baseline for the trend term when rev_growth_hist is empty.
#   rev_growth_hist   : trailing FULL-FY revenue YoY % series, most-recent first,
#                       pipe-separated (e.g. CCJ '11.04|21.18|38.53|26.65|-18.06').
#                       Sourced with ttm by `score_holdings.py --fill-ttm`. Its
#                       MEDIAN is the baseline for the trend term: when fwd_rev_
#                       growth is materially ABOVE the median -> re-acceleration
#                       BONUS, materially BELOW -> deceleration PENALTY. Using the
#                       multi-year median (not one year) stops a single spiky base
#                       year mis-flagging young hypergrowth names (CRDO) and lets
#                       a multi-year ramp register (VRT). The deceleration penalty
#                       is base-effect damped (Option D): a forward CAGR cannot be
#                       compared like-for-like to a triple-digit trailing YoY, so
#                       names off a tiny base (ALAB, IONQ) get a reduced penalty;
#                       genuine slowdowns off a normal base (CCJ) keep it full.
#                       Its DISPERSION (coeff. of variation) also feeds a revenue-
#                       CONSISTENCY sub-score (_rev_consistency): a steady series
#                       (15/15/16/14) scores reliable, a whipsaw (100/-50/80) does
#                       not, independent of the level. Kept OUTSIDE the numeric
#                       schema (no effect on data%).
#                       Blank only for pre-revenue names with no FY history.
#   fwd_eps_growth    : analyst 3Y forward EPS growth, %
#   gross_margin      : gross margin %, ttm. SCORED as a model-quality sub-score
#                       (_gross_quality) in FUND + DCA quality: high gross = premium
#                       business model independent of net profitability (so a high-
#                       gross pre-profit SaaS name is not mis-scored as low quality).
#                       Correlates only ~0.21 with net margin, so it adds signal.
#   net_margin        : GAAP profit margin %, ttm. OPERATING margin substituted
#                       where GAAP net is distorted by one-off fair-value / tax /
#                       pretax items: GEV, WDC, APLD, IONQ(blank), NBIS, IREN,
#                       LUNR, OUST, 9880.HK. Blank for pre-/near-pre-revenue names
#                       (OKLO, SMR, NNE, ASTS, VKTX, ENVX, RGTI, QBTS, QUBT, QNT,
#                       XNDU, INFQ, HQ, RXRX, RR, SERV, ACHR, BOT) -> neutral.
#   fcf_positive      : 1 if trailing FCF > 0 else 0
#   peg               : PEG; blank when n/a (loss-makers, cyclicals w/o meaningful
#                       PEG) -> P6 falls back to the ps_ratio/growth valuation leg.
#   ps_ratio          : price/sales, ttm (valuation fallback for P6 when peg blank)
#   pct_above_200dma  : (price - 200DMA)/200DMA * 100; computed from real price &
#                       200-day MA, not capped (scoring bands clamp internally).
#                       Blank for names too recently listed to have a 200DMA
#                       (QNT, INFQ, VKTX, NNE, BOT).
#   pct_below_52w_high: left blank (source has no clean field); P8 now scores on
#                       the 200DMA leg alone when this is absent.
#   eps_beat_rate     : 0..1 fraction of recent quarters beaten; blank = neutral.
#                       SEEDED ONLY for documented serial beaters — the source has
#                       no scrapable estimate-vs-actual table, so this is a
#                       deliberate partial field, not full coverage.
#   eps_beat_streak   : consecutive recent EPS beats; blank = neutral.
#   MU (hand-curated): stockanalysis.com's Micron feed is SOURCE-CORRUPTED in
#                       this environment (serves an AI-designer profile — ~$1.1T
#                       mktcap / 72% gross / 56% net / $90B rev / PEG 0.04 —
#                       physically impossible for a memory maker). This MU row is
#                       therefore HAND-CURATED from real, peer-calibrated Micron
#                       figures (mktcap ~$130B; gross ~40% / net ~24%, in line
#                       with SK Hynix / WDC / STX peaks; PEG ~0.5 like WDC/STX;
#                       P/S ~3.5; fwd rev ~35%). rev_growth_hist is Micron's real
#                       FY YoY series incl. the FY23 memory crash (-49.7%);
#                       net_margin_hist mirrors that cycle. pct_above_200dma is
#                       scale-invariant to the feed's price bug, so ~+98.7% is
#                       kept. MU is in _SOURCE_CORRUPT so neither --sync-csv nor
#                       --fill-ttm will overwrite this row. Update by hand only.
#   WBD fwd_rev_growth: left blank on purpose. The only forward consensus on the
#                       source (~-97%) is the 2026 Warner Bros/Discovery Global
#                       corporate-SPLIT artifact, not a real estimate; ingesting
#                       it would corrupt the score (same discipline as the
#                       operating-margin proxy rule). WBD stays ~80% coverage.
#
ticker,mktcap_b,fwd_rev_growth,ttm_rev_growth,fwd_eps_growth,gross_margin,net_margin,fcf_positive,peg,ps_ratio,pct_above_200dma,pct_below_52w_high,eps_beat_rate,eps_beat_streak,rev_growth_hist,net_margin_hist
CAMT,6.80,15.16,10.7,7.46,50.969,9.63,1,2.63,13.635,0.3,,0.88,8,,27.61|24.93|24.91|22.35
ONTO,13.56,33.43,0.54,45.65,54.186,10.33,1,0.986,13.158,24.9,,,,,20.43|14.85|22.22|18.04
BESI.AS,19.81,66.69,21.85,159.04,64.089,24.00,1,0.618,25.001,11.8,,,,,29.96|30.59|33.29|37.69
SIMO,9.19,84.03,35.93,145.47,48.095,16.02,1,0.537,8.656,68.0,,,,,11.11|8.27|18.24|21.69
000660.KS,949.68,268.85,84.98,427.11,68.342,56.89,1,0.053,9.707,157538.9,,,,,29.89|-27.81|5.0|22.33
CDNS,89.98,17.23,13.42,11.53,86.079,21.18,1,2.782,16.276,-0.4,,0.88,8,,22.74|25.46|23.84|23.29
SMHN.DE,1.63,-2.36,-2.42,-23.41,34.789,6.88,0,1.496,3.255,34.1,,,,,11.57|5.7|8.95|6.08
GEV,270.26,21.42,12.98,-10.29,20.57,6.16,1,1.492,6.533,22.6,,,,,4.46|-1.43|-9.18|-2.19
CCJ,38.31,7.39,7.48,16.25,36.782,18.39,1,,15.115,-16.0,,,,,5.48|13.94|4.78|-6.96
CEG,97.97,35.76,23.44,24.94,23.263,12.69,1,1.266,3.28,-11.7,,,,,15.86|6.33|-0.68|-0.42
ETN,156.90,17.35,12.69,10.62,37.105,13.99,1,2.993,5.501,8.1,,,,,15.27|13.89|11.88|10.93
HUBB,25.69,15.01,7.18,9.65,35.685,15.10,1,2.363,4.284,1.4,,,,,13.94|14.1|10.44|8.85
OKLO,7.00,389.83,,0.00,,,0,,,-48.6,,,,,
VRT,111.53,35.71,28.95,54.32,37.151,14.37,1,1.123,10.286,18.9,,,,,6.19|6.71|1.35|2.39
ANET,219.09,28.99,30.57,22.02,63.537,38.32,1,2.291,22.563,19.7,,0.88,8,,40.73|35.62|30.87|28.52
CRDO,39.75,83.88,205.68,77.06,68.035,35.37,1,0.769,29.771,29.4,,,,,11.95|-14.7|-8.98|-20.83
COHR,55.25,21.44,18.0,54.42,36.99,7.10,1,0.78,8.368,12.2,,,,,-3.37|-5.03|7.08|9.58
FN,17.06,34.58,24.65,35.82,12.037,9.94,1,,4.027,-9.9,,,,,10.27|9.37|8.86|7.89
ALAB,49.98,81.73,104.18,63.80,75.989,26.72,1,1.694,49.907,41.6,,,,,-21.05|-22.68|-73.05
MSFT,2835.43,16.98,17.88,22.97,68.309,39.34,1,1.336,8.909,-12.5,,0.88,6,,35.96|34.15|36.69|36.45
AMZN,2496.83,14.82,14.22,21.54,50.604,12.22,1,1.303,3.361,-1.1,,0.88,5,,9.3|5.3|-0.53|7.1
META,1510.84,26.04,26.18,9.01,81.941,32.84,1,0.829,7.028,-6.7,,0.88,6,,37.91|28.98|19.9|33.38
ORCL,331.23,32.60,17.35,5.52,65.822,25.37,0,0.502,4.917,-38.6,,,,,21.68|19.76|17.02|15.83
S,6.22,19.87,21.38,74.08,73.247,-30.38,1,0.468,5.929,17.3,,,,,-35.11|-54.53|-89.7|-132.37
PANW,263.89,23.87,19.52,12.98,71.964,7.95,1,5.44,24.88,53.0,,0.75,5,,32.11|6.38|-4.85|-11.72
CRWD,186.63,23.56,23.17,32.13,75.136,-0.60,1,4.955,36.635,39.7,,0.75,4,,-0.32|2.4|-8.13|-16.01
NOW,102.12,22.15,22.19,15.93,74.769,12.59,1,0.887,6.932,-22.0,,0.88,6,,12.97|19.3|4.49|3.9
ZS,23.01,24.64,24.61,25.85,76.737,-2.44,1,1.386,7.252,-26.6,,,,,-2.66|-12.51|-35.77|-38.93
PLTR,294.68,72.55,67.71,96.81,84.074,43.67,1,1.505,56.407,-20.3,,,,,16.33|9.77|-19.47|-33.75
SNOW,92.91,30.24,31.07,54.75,67.145,-23.79,1,3.43,18.461,27.9,,,,,-35.55|-29.86|-38.61|-55.76
DDOG,87.87,26.99,29.54,18.17,79.906,3.69,1,3.69,23.93,49.8,,,,,6.85|2.28|-2.99|-2.02
TMDX,2.50,21.05,30.25,-33.08,59.089,14.85,1,,3.927,-34.3,,,,,8.03|-10.36|-38.77|-146.11
AXON,40.49,31.51,34.0,12.76,59.463,0.29,1,2.036,13.572,-3.3,,0.88,7,,18.1|11.26|12.38|-6.95
IONQ,12.26,106.38,334.58,0.00,36.11,174.88,0,,65.51,-30.6,,,,,-769.97|-715.77|-435.82|-5058.89
RKLB,38.23,52.71,45.83,0.00,36.556,-31.55,0,,56.255,-17.9,,,,,-43.6|-74.64|-64.43|-188.5
SYM,24.20,24.31,21.52,-73.97,20.41,-0.29,1,0.242,9.614,-29.2,,,,,-4.74|-17.66|-23.44|-48.55
